datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 2:07:01 PM,0,1,666,[7;;],666,666,666,666,3
4/09/2024 2:12:29 PM,1,1,2.500581,5,0,7,no response,False,1
4/09/2024 2:12:30 PM,2,1,3.002658,5,0,5,no response,False,1
4/09/2024 2:12:30 PM,3,1,3.505998,5,0,5,no response,False,1
4/09/2024 2:12:31 PM,4,1,4.010198,5,0,5,no response,False,1
4/09/2024 2:12:31 PM,5,1,4.513434,5,0,5,no response,False,1
4/09/2024 2:12:32 PM,6,1,5.017225,5,0,5,no response,False,1
4/09/2024 2:12:32 PM,7,1,5.520948,5,0,5,no response,False,1
4/09/2024 2:12:33 PM,8,1,6.024845,5,0,5,no response,False,1
4/09/2024 2:12:33 PM,9,1,6.528755,5,0,5,no response,False,1
4/09/2024 2:12:34 PM,10,1,7.032836,5,0,5,no response,False,1
4/09/2024 2:12:34 PM,11,1,7.536694,5,0,5,no response,False,1
4/09/2024 2:12:35 PM,12,1,8.04315,5,0,5,no response,False,1
4/09/2024 2:12:35 PM,13,1,8.547328,5,0,5,no response,False,1
4/09/2024 2:12:36 PM,14,1,9.05113,5,0,5,no response,False,1
4/09/2024 2:12:36 PM,15,1,9.554793,5,0,5,no response,False,1
4/09/2024 2:12:37 PM,16,1,10.05853,5,0,5,no response,False,1
4/09/2024 2:12:37 PM,17,1,10.5626,5,0,5,no response,False,1
4/09/2024 2:12:38 PM,18,1,11.067,5,0,5,no response,False,1
4/09/2024 2:12:38 PM,19,1,11.57174,5,0,5,no response,False,1
4/09/2024 2:12:39 PM,20,1,12.07601,5,0,5,no response,False,1
4/09/2024 2:12:39 PM,21,1,12.57971,5,0,5,no response,False,1
4/09/2024 2:12:40 PM,22,1,13.08764,5,0,5,no response,False,1
4/09/2024 2:12:40 PM,23,1,13.5961,5,0,5,no response,False,1
4/09/2024 2:12:41 PM,24,1,14.10015,5,0,5,no response,False,1
4/09/2024 2:12:41 PM,25,1,14.6038,5,0,5,no response,False,1
4/09/2024 2:12:42 PM,26,1,15.10783,5,0,5,no response,False,1
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 2:25:00 PM,0,1,666,[9;;],666,666,666,666,3
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 2:27:14 PM,0,1,666,[4;;],666,666,666,666,3
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 2:32:33 PM,0,1,666,[5;;],666,666,666,666,3
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 3:37:43 PM,0,1,666,[6;;],666,666,666,666,3
4/09/2024 3:37:45 PM,1,1,1.058053,4,0,6,6,True,1
4/09/2024 3:37:49 PM,1,2,666,[5;6;],666,666,666,666,3
4/09/2024 3:37:51 PM,2,2,0.5590312,4,0,5,5,True,1
4/09/2024 3:37:55 PM,2,3,666,[6;7;8],666,666,666,666,3
4/09/2024 3:37:59 PM,3,3,2.454202,3,0,6,6,True,1
4/09/2024 3:38:08 PM,0,1,666,[7;;],666,666,666,666,3
4/09/2024 3:38:11 PM,1,1,0.9937775,6,0,7,7,True,0
4/09/2024 3:38:14 PM,1,2,666,[9;1;],666,666,666,666,3
4/09/2024 3:38:17 PM,2,2,0.8306051,2,0,9,9,True,0
4/09/2024 3:38:21 PM,2,3,666,[9;5;4],666,666,666,666,3
4/09/2024 3:38:23 PM,3,3,0.9244568,8,0,9,9,True,0
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
datetime,trial,load,response_time,stimulus,stimulus_position,solution,response,correct,practice
4/09/2024 6:16:54 PM,0,1,666,[4;;],666,666,666,666,3
4/09/2024 6:16:57 PM,1,1,1.764756,3,0,4,4,True,1
4/09/2024 6:17:01 PM,1,2,666,[9;7;],666,666,666,666,3
4/09/2024 6:17:03 PM,2,2,0.1675436,4,0,9,9,True,1
4/09/2024 6:17:07 PM,2,3,666,[2;6;7],666,666,666,666,3
4/09/2024 6:17:10 PM,3,3,1.529428,5,1,6,6,True,1
